NORMAN_ID,NAME,SMILES,NEUTRAL_EXACT_MASS,FORMULA,StdInChI,CAS_RN,PUBCHEM_CID,InChIKey,CHEMSPIDER_ID,DTXSID,Preferable Ionization,MB_Records Positive Ionization,Adduct Positive Ionization,Ionisation type and collision energy Positive Ionization,Fragments Positive Ionization,Simplified_fragments_Positive,Institute Positive Ionization,MB_Records Negative Ionization,Adduct Negative Ionization,Ionisation type and collision energy Negative Ionization,Fragments Negative Ionization,Simplified_fragments_Negative,Institute Negative Ionization
stpQQR451,"Gestoden|13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,13,14,17-dodecahydro-3h-cyclopenta[a]phenanthren-3-one(non-preferred name)|13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14-decahydrocyclopenta[a]phenanthren-3-one",CCC12CCC3C(CCC4=CC(=O)CCC34)C1C=CC2(O)C#C,310.19328,C21H26O2,"InChI=1S/C21H26O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,10,12-13,16-19,23H,3,5-9,11H2,1H3",CAS_RN: 60282-87-3,2999,SIGSPDASOTUPFS-UHFFFAOYSA-N,2892,NA,Positive,SM874002,[M+H]+,HCD35,311.2005:109.0648:81.0335,109.0648;81.0335,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR452,Drospirenone,CC12CCC3C(C4CC4C4=CC(=O)CCC34C)C1C1CC1C21CCC(=O)O1,366.21949,C24H30O3,"InChI=1S/C24H30O3/c1-22-6-3-12(25)9-17(22)13-10-14(13)20-16(22)4-7-23(2)21(20)15-11-18(15)24(23)8-5-19(26)27-24/h9,13-16,18,20-21H,3-8,10-11H2,1-2H3",CAS_RN: 67392-87-4,12803450,METQSPRSQINEEU-UHFFFAOYSA-N,11266927,NA,Positive,SM874102,[M+H]+,HCD35,367.2269:97.0648:131.0855,131.0855;97.0648,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR453,"Bethamethasone|9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione|9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,392.1999,C22H29FO5,"InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3",CAS_RN: 50-02-2,3003,UREBDLICKHMUKA-UHFFFAOYSA-N,2896,NA,Positive,SM872801;SM874301,[M+H]+;[M+H]+,HCD35;HCD35,355.1905:373.2013:147.0805;355.1905:373.2013:147.0805,373.2013;355.1905;147.0805,CASMI_2016;CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR454,"Prednisone|Fernisone|17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-6,7,8,9,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,11-dione",CC12CC(=O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,358.17802,C21H26O5,"InChI=1S/C21H26O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-15,18,22,26H,3-4,6,8,10-11H2,1-2H3",CAS_RN: 53-03-2,4900,XOFYZVNMUHMLCC-UHFFFAOYSA-N,4731,NA,Positive/Negative,SM874401,[M+H]+,HCD35,359.1854:341.1749:147.0804,341.1749;147.0804,CASMI_2016,SM874454,[M-H]-,HCD35,327.1602:299.1656:123.0446,327.1602;299.1656;123.0446,CASMI_2016
stpQQR455,Cyproterone,CC(=O)C1(O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC12C,374.16487,C22H27ClO3,"InChI=1S/C22H27ClO3/c1-11(24)22(26)7-5-14-12-9-18(23)17-10-19(25)13-8-16(13)21(17,3)15(12)4-6-20(14,22)2/h9-10,12-16,26H,4-8H2,1-3H3",CAS_RN: 2098-66-0,3015,DUSHUSLJJMDGTE-UHFFFAOYSA-N,2907,NA,Positive,SM874501,[M+H]+,HCD35,375.1722:321.185:279.1744,321.185;279.1744,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR456,"Trenbolone|17-hydroxy-13-methyl-2,6,7,8,14,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-3-one",CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O,270.16198,C18H22O2,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h8-10,15-17,20H,2-7H2,1H3",CAS_RN: 80657-17-6,4092426,MEHHPFQKXOUFFV-UHFFFAOYSA-N,3306758,NA,Positive,SM874601,[M+H]+,HCD35,271.1694:253.1588:199.1119,253.1588;199.1119,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR457,"Dydrogesterone|(8S,9R,10S,13S,14S,17S)-17-acetyl-10,13-dimethyl-1,2,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-one",CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,312.20893,C21H28O2,"InChI=1S/C21H28O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4-5,12,16-19H,6-11H2,1-3H3/t16-,17+,18-,19+,20+,21+/m0/s1",CAS_RN: 152-62-5,9051,JGMOKGBVKVMRFX-HQZYFCCVSA-N,8699,DTXSID1022974,Positive,SM874701,[M+H]+,HCD35,313.2162:295.2058:85.0648,295.2058;85.0648,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR458,"Hydrocortisonacetate|Hydrocortisone acetate|[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate",CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,404.21989,C23H32O6,"InChI=1S/C23H32O6/c1-13(24)29-12-19(27)23(28)9-7-17-16-5-4-14-10-15(25)6-8-21(14,2)20(16)18(26)11-22(17,23)3/h10,16-18,20,26,28H,4-9,11-12H2,1-3H3/t16-,17-,18-,20+,21-,22-,23-/m0/s1",CAS_RN: 50-03-3,5744,ALEXXDVDDISNDU-JZYPGELDSA-N,5542,NA,Positive,SM874801,[M+H]+,HCD35,405.2272:121.0648:327.1955,327.1955;121.0648,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR459,"Medroxyprogesteroneacetate|Medroxyprogesterone acetate|[(6S,8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate",C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,386.24571,C24H34O4,"InChI=1S/C24H34O4/c1-14-12-18-19(22(4)9-6-17(27)13-21(14)22)7-10-23(5)20(18)8-11-24(23,15(2)25)28-16(3)26/h13-14,18-20H,6-12H2,1-5H3/t14-,18+,19-,20-,22+,23-,24-/m0/s1",CAS_RN: 71-58-9,6279,PSGAAPLEWMOORI-PEINSRQWSA-N,6043,DTXSID0025527,Positive,SM874903,[M+H]+,HCD35,387.253:123.0804:327.2319,327.2319;123.0804,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR460,"Megestrol-17-acetate|Megestrol acetate|[(8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-oxo-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate",CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,384.23006,C24H32O4,"InChI=1S/C24H32O4/c1-14-12-18-19(22(4)9-6-17(27)13-21(14)22)7-10-23(5)20(18)8-11-24(23,15(2)25)28-16(3)26/h12-13,18-20H,6-11H2,1-5H3/t18-,19+,20+,22-,23+,24+/m1/s1",CAS_RN: 595-33-5,11683,RQZAXGRLVPAYTJ-GQFGMJRRSA-N,11192,DTXSID9040683,Positive,SM875001,[M+H]+,HCD35,385.2373:325.2162:267.1743,325.2162;267.1743,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR461,Dodecyl sulfate,CCCCCCCCCCCCOS(O)(=O)=O,266.1552,C12H26O4S,"InChI=1S/C12H26O4S/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15/h2-12H2,1H3,(H,13,14,15)",CAS_RN: 151-41-7,57468502,MOTZDAYCYVMXPC-UHFFFAOYSA-N,8448,DTXSID0042088,Negative,NA,NA,NA,NA,NA,NA,SM876153;ETS00007,[M-H]-;[M-H]-,HCD35;HCD60 NCE,265.1479;265.147:96.9602:125.615,265.14745;125.615;96.9602,CASMI_2016;Eawag_Additional_Specs2
stpQQR462,Dodecylbenzenesulfonic acid,CCCCCCCCCCCCC1=CC=C(C=C1)S(O)(=O)=O,326.19157,C18H30O3S,"InChI=1S/C18H30O3S/c1-2-3-4-5-6-7-8-9-10-11-12-17-13-15-18(16-14-17)22(19,20)21/h13-16H,2-12H2,1H3,(H,19,20,21)",CAS_RN: 121-65-3,8485,KWXICGTUELOLSQ-UHFFFAOYSA-N,8172,DTXSID8050443,Negative,NA,NA,NA,NA,NA,NA,SM876251,[M-H]-,HCD35,325.1842:183.0121:184.0199,325.1842;184.0199;183.0121,CASMI_2016
stpQQR463,Lauric isopropanolamide|N-(2-hydroxypropyl)dodecanamide,CCCCCCCCCCCC(=O)NCC(C)O,257.23548,C15H31NO2,"InChI=1S/C15H31NO2/c1-3-4-5-6-7-8-9-10-11-12-15(18)16-13-14(2)17/h14,17H,3-13H2,1-2H3,(H,16,18)",CAS_RN: 142-54-1,9903249,MMBILEWCGWTAOV-UHFFFAOYSA-N,8078903,DTXSID00861815,Positive,SM876601,[M+H]+,HCD35,76.0757:58.0653:258.2428,76.0757;58.0653,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR464,"Lauryl diethanolamide|N,N-bis(2-hydroxyethyl)dodecanamide",CCCCCCCCCCCC(=O)N(CCO)CCO,287.24604,C16H33NO3,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",CAS_RN: 120-40-1,8430,AOMUHOFOVNGZAN-UHFFFAOYSA-N,8123,DTXSID5025491,Positive,SM876702,[M+H]+,HCD35,106.0862:88.0757:288.2533,106.0862;88.0757,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR465,"N,N-Dimethyldodecylamine N-oxide|Lauramine oxide|N,N-dimethyldodecan-1-amine oxide",CCCCCCCCCCCC[N+](C)(C)[O-],229.24056,C14H31NO,"InChI=1S/C14H31NO/c1-4-5-6-7-8-9-10-11-12-13-14-15(2,3)16/h4-14H2,1-3H3",CAS_RN: 1643-20-5,15433,SYELZBGXAIXKHU-UHFFFAOYSA-N,14688,DTXSID1020514,Positive,SM876801,[M+H]+,HCD35,230.2479:58.0653:62.0602,62.0602;58.0653,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR466,"Perfluorodecanoic acid|Perfluorocapric acid|2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecanoic acid",OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,513.96732,C10HF19O2,"InChI=1S/C10HF19O2/c11-2(12,1(30)31)3(13,14)4(15,16)5(17,18)6(19,20)7(21,22)8(23,24)9(25,26)10(27,28)29/h(H,30,31)",CAS_RN: 335-76-2,9555,PCIUEQPBYFRTEM-UHFFFAOYSA-N,9181,DTXSID3031860,Negative,NA,NA,NA,NA,NA,NA,SM876951;EA272051|EA272052|EA272053|EA272058,[M-H]-;[M-H]-,HCD35;CID35|HCD15|HCD30|HCD15,468.9701:218.9862:268.9831;468.9703:218.986:268.9826|218.9862|468.9691|268.9823:218.9858,468.9701;268.9826;218.9861,CASMI_2016;Eawag
stpQQR467,"Perfluorohexanoic acid|2,2,3,3,4,4,5,5,6,6,6-undecafluorohexanoic acid",OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,313.98009,C6HF11O2,"InChI=1S/C6HF11O2/c7-2(8,1(18)19)3(9,10)4(11,12)5(13,14)6(15,16)17/h(H,18,19)",CAS_RN: 307-24-4,67542,PXUULQAPEKKVAH-UHFFFAOYSA-N,60864,DTXSID3031862,Negative,NA,NA,NA,NA,NA,NA,SM877154;EA271551|EA271552|EA271553|EA271554|EA271555|EA271557|EA271558|EA271559,[M-H]-;[M-H]-,HCD35;CID35|HCD15|HCD30|HCD45|HCD60|HCD90|HCD15|HCD30,268.9831:312.9727:225.9904;268.9834:312.9734|268.9833|118.9928|118.9921|118.9927|268.9836:312.9828|268.9828:312.9713|268.9821:118.9926:312.9834,312.9727;268.9832;225.9904;118.99265,CASMI_2016;Eawag
stpQQR468,"Perfluorooctanesulfonic acid|1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid",OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,499.93749,C8HF17O3S,"InChI=1S/C8HF17O3S/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28/h(H,26,27,28)",CAS_RN: 2795-39-3,74483,YFSUTJLHUFNCNZ-UHFFFAOYSA-N,67068,DTXSID3031864,Negative,NA,NA,NA,NA,NA,NA,SM877253,[M-H]-,HCD35,498.9313,498.9313,CASMI_2016
stpQQR469,"Perfluorooctanoic acid|2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid",OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,413.9737,C8HF15O2,"InChI=1S/C8HF15O2/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23/h(H,24,25)",CAS_RN: 335-93-3,9554,SNGREZUHAYWORS-UHFFFAOYSA-N,9180,DTXSID8031865,Negative,NA,NA,NA,NA,NA,NA,SM877354;EA271751|EA271752|EA271753|EA271754|EA271757|EA271758|EA271759|EA271760,[M-H]-;[M-H]-,HCD35;CID35|HCD15|HCD30|HCD45|HCD90|HCD15|HCD30|HCD45,368.9761:168.9893;368.9771:168.9893:218.9863|368.9756:168.9891:218.9854|168.9893|168.9896|412.9758:368.9777|368.9768:168.9891:218.9856|168.9891:218.986|168.989:412.9771,368.9768;218.9858;168.9892,CASMI_2016;Eawag
stpQQR470,"Diuron|3-(3,4-dichlorophenyl)-1,1-dimethylurea",CN(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,232.01702,C9H10Cl2N2O,"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)",CAS_RN: 330-54-1,3120,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,3008,DTXSID0020446,Positive/Negative,AU341002|AU341003|AU341004|AU341005;SM877701;EA029201|EA029202|EA029203|EA029204|EA029205|EA029206|EA029207|EA029208|EA029209|EA029210|EA029211|EA029212|EA029213|EA029214,[M+H]+;[M+H]+;[M+H]+,CID20|CID30|CID40|CID50;HCD35;CID35|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|CID35,233.0237:235.021:187.9652|159.9703:161.9672:187.9652|159.9703:161.9672:132.9598|132.9595:125.0014:134.9565;72.0445:233.0244:159.9716;72.0444|233.0245:72.0443|233.0245:72.0444:187.9659|72.0444:233.0238:159.9714|72.0444:159.9715:187.9665|72.0444:159.9714:132.9608|72.0444:159.9714:132.9606|233.0244:72.0443|233.0244:72.0444:187.9664|72.0444:233.0241:187.9665|72.0444:159.9715:187.9664|72.0444:159.9715:132.9606|72.0444:159.9715:132.9606|72.0444:187.9661,187.96625;161.9672;159.97145;134.9565;132.9606;125.0014;72.0444,Athens_Univ;CASMI_2016;Eawag,AU341051|AU341052|AU341053|AU341054;SM877753;EA029251|EA029252|EA029253|EA029254|EA029255|EA029256|EA029257|EA029258|EA029259|EA029260|EA029261|EA029262|EA029263|EA029264;UF400451|UF400452|UF400453|UF400454,[M-H]-;[M-H]-;[M-H]-;[M-H]-,CID10|CID20|CID30|CID40;HCD35;CID35|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|CID35;HCD55|HCD80|CID35|CID55,231.0102:233.0077:232.0129|231.0107:185.9524:187.9495|149.9747:185.9521:187.9492|149.9764;231.0098:185.952:159.9727;185.9521:159.9726:231.0097|231.0098:185.9515|231.0097:185.9518:159.9728|185.952:231.0098:149.9751|185.9519:149.9751:231.01|149.9751:185.9517|149.9757|231.0095:185.9511|231.0095:185.9517:159.9725|185.9518:231.0094:149.9751|185.9517:149.9752:231.0094|149.975:185.9514|149.9755|185.952:159.9725:149.9749;231.0099|231.0099:197.9499|185.9518:197.9498|185.9518,231.0098;197.94985;187.94935;185.9518;159.9726;149.9751,Athens_Univ;CASMI_2016;Eawag;UFZ
stpQQR471,Diazinone|diethoxy-(6-methyl-2-propan-2-ylpyrimidin-4-yl)oxy-sulfanylidene-$l^{5}-phosphane,CCOP(=S)(OCC)OC1=CC(C)=NC(=N1)C(C)C,304.10105,C12H21N2O3PS,"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",CAS_RN: 665-66-7,3017,FHIVAFMUCKRCQO-UHFFFAOYSA-N,2909,DTXSID9020407,Positive,AU312401|AU312402|AU312403|AU312404|AU312405;SM877901;EA029301|EA029302|EA029303|EA029304|EA029305|EA029306|EA029307|EA029308|EA029309|EA029310|EA029311|EA029312|EA029313|EA029314;UF400601|UF400602|UF400603,[M+H]+;[M+H]+;[M+H]+;[M+H]+,CID10|CID20|CID30|CID40|CID50;HCD35;CID35|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|CID35;HCD55|HCD80|CID35,305.1119:307.1064:169.0786|169.0788:305.1085:153.1014|169.0789:153.1013:249.0453|169.0787:153.1013:135.0907|169.0787:153.1014:135.0908;305.1085:169.0794:153.1023;169.0797:153.1026:277.0773|305.1087:169.0795|305.1082:169.0795:153.1023|169.0796:153.1024:96.9508|169.0794:153.1022:96.9507|169.0795:100.0216:96.9509|100.0216:96.9508:114.9614|305.1086:169.079:153.1021|305.1087:169.0795:153.1023|169.0795:153.1023:96.9508|169.0796:153.1024:96.9509|169.0795:100.0216:96.9508|100.0216:96.9508:114.9614|169.0795:153.1023:277.0771;169.0794:153.1021:96.9507|100.0215:169.0794:96.9507|169.0793:153.1021:100.0213,277.0772;249.0453;169.0794;153.10225;135.09075;114.9614;100.0216;96.9508,Athens_Univ;CASMI_2016;Eawag;UFZ,NA,NA,NA,NA,NA,NA
stpQQR472,Iminostilbene|11H-benzo[b][1]benzazepine,N1C2=CC=CC=C2C=CC2=CC=CC=C12,193.08915,C14H11N,"InChI=1S/C14H11N/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)15-13/h1-10,15H",CAS_RN: 256-96-2,9212,LCGTWRLJTMHIQZ-UHFFFAOYSA-N,8857,DTXSID90871625,Positive,AU204802|AU204803|AU204804|AU204805;SM878003;EA099201|EA099202|EA099203|EA099204|EA099205|EA099206|EA099207|EA099208|EA099209|EA099210|EA099211|EA099212|EA099213|EA099214;UF413301|UF413302|UF413303|UF413304,[M+H]+;[M+H]+;[M+H]+;[M+H]+,CID20|CID30|CID40|CID50;HCD35;CID35|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|CID35;HCD55|HCD80|CID35|CID55,194.0957:195.0991:179.0723|194.0957:179.0711:195.0991|179.0715:194.0939:165.0683|193.0872:179.0708:152.0605;194.0965:193.0888:134.06;194.0969:193.0886:165.0696|194.0968:193.0893:179.0727|194.0967:193.0891:165.0694|194.0969:193.0894:179.0725|194.0966:193.0892:179.0731|194.0969:193.0892:179.0732|193.089:194.0968:179.0731|194.0967:193.0892|194.0967:193.0891|194.0967:193.089:165.0695|194.0967:193.0891:179.0731|194.0969:193.0892:179.0732|193.0889:194.0966:179.0732|194.0967:193.0887:179.0726;194.0972:179.0738:167.0863|194.0973:179.0738:116.05|194.0972:167.086|194.0972:179.0736:167.086,193.0891;179.0731;167.086;165.06945;152.0605;134.06;116.05,Athens_Univ;CASMI_2016;Eawag;UFZ,NA,NA,NA,NA,NA,NA
stpQQR473,"Triethylcitrate|triethyl 2-hydroxypropane-1,2,3-tricarboxylate",CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,276.1209,C12H20O7,"InChI=1S/C12H20O7/c1-4-17-9(13)7-12(16,11(15)19-6-3)8-10(14)18-5-2/h16H,4-8H2,1-3H3",CAS_RN: 77-93-0,6506,DOOTYTYQINUNNV-UHFFFAOYSA-N,13850879,DTXSID0040701,Positive,SM878101,[M+H]+,HCD35,157.0496:133.0495:203.0914,203.0914;157.0496;133.0495,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR474,"Imazalil|1-[2-(2,4-dichlorophenyl)-2-prop-2-enoxyethyl]imidazole",ClC1=CC=C(C(CN2C=CN=C2)OCC=C)C(Cl)=C1,296.04832,C14H14Cl2N2O,"InChI=1S/C14H14Cl2N2O/c1-2-7-19-14(9-18-6-5-17-10-18)12-4-3-11(15)8-13(12)16/h2-6,8,10,14H,1,7,9H2",CAS_RN: 35554-44-0,37175,PZBPKYOVPCNPJY-UHFFFAOYSA-N,34116,DTXSID8024151,Positive,SM878201;UF400901|UF400902|UF400903|UF400904,[M+H]+;[M+H]+,HCD35;HCD55|HCD80|CID35|CID55,297.0558:158.9764:69.0448;158.9762:109.0759:172.9919|158.9761:81.0446:141.0698|255.0085:200.9867:158.9761|255.0087:200.9868:158.9763,255.0086;200.98675;172.9919;158.9762;141.0698;109.0759;81.0446;69.0448,CASMI_2016;UFZ,NA,NA,NA,NA,NA,NA
stpQQR475,"Fipronil|5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-(trifluoromethylsulfinyl)pyrazole-3-carbonitrile",NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,435.93871,C12H4Cl2F6N4OS,"InChI=1S/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2",CAS_RN: 75530-68-6,3352,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,3235,DTXSID4034609,Positive/Negative,EA266601|EA266602|EA266603|EA266604|EA266605|EA266606|EA266607|EA266608|EA266609|EA266610|EA266611|EA266612|EA266613|EA266614,[M+H]+,CID35|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|CID35,367.9502|436.9443:367.9501|367.9502:289.9765:254.9684|254.9697:289.9755:221.0092|254.9696:221.0087:262.9657|221.0086:239.9591:254.9679|239.9579:185.0317:212.9473|436.9447:367.9503|367.9501:289.9751:254.9697|254.9697:289.9756:280.9758|254.9697:221.0089:239.9584|254.9703:239.9598:262.9638|212.9477:185.0321:227.9588|367.9499,367.95015;289.97555;280.9758;262.96475;254.9697;239.95875;227.9588;221.0088;212.9475;185.0319,Eawag,AU346451|AU346452|AU346453|AU346454|AU346455;SM878353;EA266651|EA266652|EA266653|EA266654|EA266655|EA266656|EA266657|EA266658|EA266659|EA266660|EA266661|EA266662|EA266663|EA266664,[M-H]-;[M-H]-;[M-H]-,CID10|CID20|CID30|CID40|CID50;HCD35;CID35|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|HCD15|HCD30|HCD45|HCD60|HCD75|HCD90|CID35,434.9311:329.9591:436.9275|329.9604:331.9578:365.9363|249.958:329.9604:317.9689|249.9596:183.0186:277.954|183.0177:249.9585:182.0109;329.9597:249.9586:277.9534;329.959:398.954:332.9619|329.9593:434.9318:398.954|329.9592:317.9689:249.9588|249.9584:277.953:281.9928|183.0175:249.958:267.99|183.0173:163.0111:143.0047|143.0049:163.0112:113.0145|329.959:434.9304:398.954|329.959:317.9687:249.9583|249.9582:277.9532:183.0174|183.0174:249.9581:267.9889|183.0175:163.0112:143.0048|143.005:163.0111:183.0173|329.959:398.9541:332.9621,434.9311;398.954;365.9363;332.962;331.9578;329.95915;317.9689;281.9928;277.9533;267.98945;249.95835;183.01745;182.0109;163.01115;143.00485;113.0145,Athens_Univ;CASMI_2016;Eawag
stpQQR476,"2-Methylbenzothiazole|2-methyl-1,3-benzothiazole",CC1=NC2=CC=CC=C2S1,149.02992,C8H7NS,"InChI=1S/C8H7NS/c1-6-9-7-4-2-3-5-8(7)10-6/h2-5H,1H3",CAS_RN: 120-75-2,8446,DXYYSGDWQCSKKO-UHFFFAOYSA-N,8138,DTXSID8049208,Positive,SM878603,[M+H]+,HCD35,152.0167:120.0445:110.0601,120.0445;110.0601,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR477,Phenylbenzimidazolesulfonic acid|2-phenyl-3H-benzimidazol-1-ium-5-sulfonate,OS(=O)(=O)C1=CC=C2N=C(NC2=C1)C1=CC=CC=C1,274.04121,C13H10N2O3S,"InChI=1S/C13H10N2O3S/c16-19(17,18)10-6-7-11-12(8-10)15-13(14-11)9-4-2-1-3-5-9/h1-8H,(H,14,15)(H,16,17,18)",CAS_RN: 27503-81-7,33919,UVCJGUGAGLDPAA-UHFFFAOYSA-N,31267,DTXSID3038852,Positive/Negative,SM823802;SM878701;TUE00581|TUE00582|TUE00583,[M+H]+;[M+H]+;[M+H]+,HCD35;HCD35;NA10.0V|NA20.0V|NA40.0V,275.0484:194.0839:195.0917;275.0484:194.0839:195.0917;275.0487:194.0835|275.0486:194.0837:195.0917|194.0838:193.076:195.0919,195.0917;194.0838;193.076,CASMI_2016;CASMI_2016;Env_Anal_Chem_U_Tuebingen,SM823851;SM878751;TUE00585|TUE00586|TUE00587;UF417251|UF417252|UF417253|UF417254,[M-H]-;[M-H]-;[M-H]-;[M-H]-,HCD35;HCD35;NA10.0V|NA20.0V|NA40.0V;HCD55|HCD80|CID35|CID55,273.034:193.0771:209.0721;273.0341:193.0772:209.0716;273.0338:193.077|193.077:273.0337:209.0719|193.077:79.9571:208.0639;273.0339|273.0338:193.0769|193.0772|193.0771,273.03385;209.0719;208.0639;193.07705;79.9571,CASMI_2016;CASMI_2016;Env_Anal_Chem_U_Tuebingen;UFZ
